formated_date,(Multiple Items)
,
Row Labels,Count of formated_date
BILLINGS,96
BOTTINEAU,49
BOWMAN,53
Burke,36
Cass,1
Divide,52
Dunn,167
Golden Valley,14
McKenzie,232
MCLEAN,13
Mountrail,197
Renville,16
Sargent,2
SLOPE,1
Stark,42
Steele,1
WARD,11
Williams,231
Grand Total,1214
