formated_date,(Multiple Items)
,
Row Labels,Count of formated_date
Adams,1
BILLINGS,85
BOTTINEAU,19
BOWMAN,57
Burke,7
Cass,1
Divide,3
Dunn,12
Golden Valley,13
McKenzie,93
Mountrail,8
Renville,8
SLOPE,3
Stark,28
WARD,1
Williams,52
(blank),1
Grand Total,392
