formated_date,(Multiple Items)
,
Row Labels,Count of formated_date
Adams,2
BILLINGS,82
BOTTINEAU,35
BOWMAN,50
Burke,55
Burleigh,1
Cass,1
Divide,57
Dunn,223
Golden Valley,8
MCHENRY,2
McKenzie,338
MCLEAN,5
Mountrail,164
Renville,18
SLOPE,2
Stark,44
WARD,5
Williams,249
(blank),1
Grand Total,1342
