source,incident_id,incident_date,formated_date,county,range,contained,company,incident_type,total_gallons,chem_gallons,water_gallons,oil,brine,other,water,note
o,2.0131E+13,10/20/2013,2013-10,WILLIAMS,15410006,Yes,Triangle Usa Petroleum Corporation,Fire,0,0,0,0,0,0,0,
o,2.01309E+13,9/16/2013,2013-09,MCKENZIE,15209603,Yes,Hess Corporation,Pipeline,0,0,0,0,0,0,0,
o,2.01309E+13,9/12/2013,2013-09,MCKENZIE,15109520,Yes,Hess Corporation,Pipeline,0,0,0,0,0,0,0,
o,2.01308E+13,8/28/2013,2013-08,MCKENZIE,15209414,Yes,HRC Operating,Fire,0,0,0,0,0,0,0,
o,2.01308E+13,8/24/2013,2013-08,MOUNTRAIL,15009302,Yes,Marathon Oil,Fire,0,0,0,0,0,0,0,
o,2.01309E+13,8/27/2013,2013-08,MCKENZIE,15109508,Yes,Hess Corporation,Pipeline,0,0,0,0,0,0,0,
o,2.01308E+13,8/24/2013,2013-08,STARK,14009717,Yes,Whiting Oil & Gas,Fire,0,0,0,0,0,0,0,
o,2.01308E+13,8/12/2013,2013-08,MCKENZIE,15209317,Yes,HRC Operating,Fire,0,0,0,0,0,0,0,
o,2.01308E+13,8/1/2013,2013-08,MCKENZIE,15409534,Yes,Hess Corporation,Pipeline,0,0,0,0,0,0,0,
o,2.01308E+13,8/1/2013,2013-08,DUNN,14509601,Yes,Continental Resources,Fire,0,0,0,0,0,0,0,
o,2.01306E+13,6/20/2013,2013-06,STARK,13909618,Yes,Denbury Onshore,Fire,0,0,0,0,0,0,0,
o,2.01305E+13,5/10/2013,2013-05,BURKE,16209008,Yes,Williston Hunter,Fire,0,0,0,0,0,0,0,
o,2.01304E+13,4/23/2013,2013-04,WILLIAMS,15709924,Yes,Baytex,Fire,0,0,0,0,0,0,0,
o,2.01304E+13,3/28/2013,2013-03,DUNN,14509515,Yes,Continental Resources,Fire,0,0,0,0,0,0,0,
o,2.01403E+13,3/3/2014,2014-03,MOUNTRAIL,15709203,No,Oasis Petroleum,Stuffing Box,0,0,0,0,0,0,0,
o,2.01402E+13,2/16/2014,2014-02,BURKE,15909408,No,Condor Petroleum,Fire,0,0,0,0,0,0,0,
o,2.01402E+13,2/17/2014,2014-02,DIVIDE,16009707,No,Continental Resources,Other,0,0,0,0,0,0,0,
o,2.01402E+13,2/14/2014,2014-02,DUNN,14509612,No,ConocoPhillips/Burlington Resources,Fire,0,0,0,0,0,0,0,
o,2.01402E+13,1/31/2014,2014-01,WILLIAMS,15510005,No,Oneok,Pipeline,0,0,0,0,0,0,0,
o,2.01401E+13,1/31/2014,2014-01,WILLIAMS,15510005,No,Oneok,Valve,0,0,0,0,0,0,0,
o,2.01401E+13,1/27/2014,2014-01,MOUNTRAIL,15609124,No,Hess Corporation,Fire,0,0,0,0,0,0,0,
o,2.01401E+13,1/26/2014,2014-01,BOWMAN,13010414,No,Continental Resources,Treater,0,0,0,0,0,0,0,
o,2.01401E+13,1/24/2014,2014-01,MCKENZIE,15309715,No,ConocoPhillips/Burlington Resources,Fire,0,0,0,0,0,0,0,
o,2.01401E+13,1/20/2014,2014-01,DUNN,14809205,No,Arrow,Valve,0,0,0,0,0,0,0,
o,2.01401E+13,1/16/2014,2014-01,MCKENZIE,15009918,No,Newfield Production Company,Fire,0,0,0,0,0,0,0,
o,2.01401E+13,1/17/2014,2014-01,BURKE,15909125,No,Summit,Valve,0,0,0,0,0,0,0,
o,2.01401E+13,1/9/2014,2014-01,MCKENZIE,15210118,No,Tervita,Fire,0,0,0,0,0,0,0,
o,2.01312E+13,12/5/2013,2013-12,MCKENZIE,15210124,No,Oasis Petroleum,Truck/Rail,0,0,0,0,0,0,0,
o,2.01312E+13,12/3/2013,2013-12,MCKENZIE,15009735,No,Abraxas Petroleum Corp.,Fire,0,0,0,0,0,0,0,
o,2.01311E+13,11/20/2013,2013-11,DUNN,14909301,No,WPX,Fire,0,0,0,0,0,0,0,
o,2.01311E+13,11/8/2013,2013-11,MCKENZIE,15209415,No,HRC Operating,Fire,0,0,0,0,0,0,0,
o,2.0131E+13,10/10/2013,2013-10,DUNN,14709625,No,Continental Resources,Fire,0,0,0,0,0,0,0,
o,2.01309E+13,9/29/2013,2013-09,WILLIAMS,15509822,No,Continental Resources,Fire,0,0,0,0,0,0,0,
o,2.01309E+13,9/14/2013,2013-09,BOWMAN,13110527,No,Denbury Onshore,Fire,0,0,0,0,0,0,0,
o,2.0131E+13,9/18/2013,2013-09,DUNN,14809720,No,Newfield Production Company,Other,0,0,0,0,0,0,0,
o,2.01309E+13,9/14/2013,2013-09,MOUNTRAIL,15809006,No,EOG Resources,Tank Leak,0,0,0,0,0,0,0,
o,2.01309E+13,9/6/2013,2013-09,MORTON,13908115,No,Tesoro,Pipeline,0,0,0,0,0,0,0,
