formated_date,(Multiple Items)
,
Row Labels,Count of formated_date
Adams,1
Benson,2
BILLINGS,114
BOTTINEAU,47
BOWMAN,47
Burke,70
Cass,1
Divide,108
Dunn,301
Golden Valley,3
Grand Forks,1
MCHENRY,1
McKenzie,520
MCLEAN,9
MERCER,4
MORTON,1
Mountrail,234
Pierce,1
Renville,13
SLOPE,3
Stark,43
WARD,5
Williams,335
(blank),1
Grand Total,1865
