formated_date,(Multiple Items)
,
Row Labels,Count of formated_date
BILLINGS,69
BOTTINEAU,21
BOWMAN,59
Burke,10
Divide,7
Dunn,27
Golden Valley,16
McKenzie,132
MCLEAN,1
Mountrail,8
Renville,5
SLOPE,4
Stark,25
WARD,1
Williams,80
(blank),1
Grand Total,466
