formated_date,(Multiple Items)
,
Row Labels,Count of formated_date
BILLINGS,83
BOTTINEAU,24
BOWMAN,51
Burke,13
Divide,10
Dunn,56
Golden Valley,10
MCHENRY,1
McKenzie,100
MCLEAN,2
Mountrail,48
Pembina,3
Renville,7
SLOPE,2
Stark,19
Williams,58
Grand Total,487
